stock_id,estimate_id,maintenance_id,type_id,package_id,price_maintenance
@15021,0,31109,3,82,0
23733,0,34809,1,200,2299
39363,0,34737,6,71,0
3112,0,31811,1,200,2199
20061,0,32147,6,200,1250
100197,8848023,38654,2,200,550
20276,0,31734,6,71,0
15351,0,36220,6,200,650
38030,0,33803,6,78,0
103849,10170732,38532,6,78,0
24550,0,33328,6,78,0
29495,0,33715,6,200,1100
21991,0,31998,6,96,0
40271,5803982,37979,6,200,1599
29076,0,32313,6,200,1350
35743,0,33576,6,81,0
112281,11668107,38515,3,200,2199
101624,0,35981,6,200,900
30538,0,35777,6,200,650
15173,0,36210,1,200,2149
19244,0,34462,6,71,0
31055,0,34315,6,78,0
37159,0,35044,6,76,0
25040,0,34363,6,71,0
23792,0,32641,6,200,1200
26102,6743146,36722,6,200,650
32236,8357943,37055,6,98,0
19530,0,32698,1,200,2199
36494,0,36207,6,200,1700
42250,7729262,38011,1,200,2299
106162,9908855,38711,6,200,750
19716,0,31406,3,82,0
45605,6722711,36841,1,200,949
29261,0,34177,6,96,0
46684,6986654,37194,6,200,1250
30739,0,33208,6,200,1100
26716,9494282,38914,1,200,1699
24711,0,33283,6,78,0
16962,0,31574,6,78,0
33380,0,34725,6,98,0
23725,3051306,38741,6,200,1350
100481,7280509,37522,2,200,549.99
38177,0,35687,6,200,1100
47791,0,35561,6,78,0
39860,0,34426,6,78,0
44660,6443868,36487,6,98,0
33756,4170665,38304,6,200,1600
39381,6439663,37837,6,76,0
31122,5582076,36836,6,98,0
32564,4230096,38172,6,71,0
19198,0,31577,6,200,1350
24427,2798495,38829,6,200,850
23999,6460254,36493,6,71,0
33370,0,34145,6,200,750
43512,9055046,38522,6,200,850
106686,9299258,38422,6,200,1200
43985,0,36383,6,200,1350
17631,0,31169,4,82,0
21953,0,33470,6,71,0
24426,0,32305,6,78,0
21916,0,33189,6,71,0
44995,7323386,38607,6,200,1600
38866,11373938,37666,6,76,0
15293,0,31164,3,82,0
23668,0,34017,6,200,1700
31349,0,35130,6,96,0
105766,10940451,37954,6,78,0
16060,0,31522,6,82,0
44109,6416325,37764,6,200,1000
18670,0,31045,4,82,0
27036,0,33752,6,98,0
33252,0,36084,6,76,0
27047,0,32485,6,98,0
25912,0,33090,6,200,850
24904,0,32161,6,200,750
32815,0,35829,6,76,0
14750,0,31334,3,82,0
25594,0,36045,6,200,1200
